0  1742
1  1878
2  1922
3  1923
4  1928
5  1933
6  1941
7  1957
8  1994
9  2020
10  2022
11  1997
12  1979
13  1973
14  1980
15  2017
16  2061
17  2109
18  2142
19  2169
20  2182
21  2165
22  2124
23  2115
24  2105
25  2118
26  2160
27  2205
28  2216
29  2198
30  2163
31  2134
32  2122
33  2120
34  2153
35  2183
36  2210
37  2230
38  2229
39  2213
40  2184
41  2153
42  2156
43  2157
44  2195
45  2216
46  2230
47  2245
48  2213
49  2188
50  2146
51  2104
52  2114
53  2131
54  2173
55  2198
56  2204
57  2209
58  2182
59  2153
60  2138
61  2149
62  2177
63  2222
64  2259
65  2286
66  2281
67  2284
68  2280
69  2258
70  2234
71  2237
72  2268
73  2302
74  2341
75  2354
76  2334
77  2303
78  2257
79  2227
80  2221
