0  30080
1  29806
2  29803
3  29579
4  29523
5  29520
6  29616
7  29521
8  29644
9  29245
10  28686
11  29197
12  29239
13  29246
14  29245
15  29676
16  30052
17  30364
18  30363
19  30217
20  30459
21  30079
22  30079
23  30068
24  29801
25  29835
26  30354
27  30356
28  30362
29  30363
30  30063
31  29994
32  29800
33  29984
34  30079
35  30361
36  30636
37  30363
38  30078
39  30084
40  30308
41  30079
42  29796
43  29801
44  30076
45  29900
46  30046
47  29262
48  29377
49  29244
50  29118
51  29421
52  29363
53  29524
54  29522
55  29758
56  30078
57  29517
58  29822
59  29805
60  29801
61  30076
62  30361
63  30634
64  30638
65  30469
66  30364
67  30634
68  30363
69  30100
70  30077
71  30292
72  30639
73  30633
74  30409
75  30141
76  29802
77  29413
78  29407
79  29580
80  29802
