0  1880
1  2063
2  2108
3  2103
4  2080
5  2089
6  2110
7  2145
8  2196
9  2218
10  2205
11  2176
12  2137
13  2125
14  2127
15  2163
16  2217
17  2276
18  2326
19  2352
20  2325
21  2302
22  2264
23  2235
24  2239
25  2250
26  2281
27  2326
28  2347
29  2352
30  2323
31  2256
32  2220
33  2217
34  2243
35  2274
36  2308
37  2335
38  2360
39  2345
40  2309
41  2286
42  2268
43  2257
44  2262
45  2291
46  2329
47  2352
48  2343
49  2313
50  2263
51  2222
52  2201
53  2212
54  2248
55  2287
56  2324
57  2332
58  2315
59  2271
60  2227
61  2228
62  2253
63  2287
64  2327
65  2364
66  2398
67  2431
68  2418
69  2407
70  2355
71  2333
72  2357
73  2393
74  2414
75  2430
76  2430
77  2403
78  2346
79  2320
80  2294
