0  25900
1  23194
2  25218
3  25621
4  25505
5  25498
6  25620
7  25780
8  26063
9  26064
10  26174
11  26061
12  25783
13  25606
14  25509
15  25514
16  25786
17  26339
18  26675
19  26902
20  26904
21  26735
22  26445
23  26065
24  25955
25  26065
26  26148
27  26403
28  26712
29  26887
30  26620
31  26346
32  26107
33  25832
34  25785
35  26067
36  26346
37  26622
38  26733
39  26734
40  26455
41  26064
42  25903
43  25723
44  25782
45  25784
46  26067
47  26341
48  26345
49  26239
50  26068
51  25782
52  25505
53  25359
54  25508
55  25899
56  26067
57  26176
58  26067
59  25893
60  25787
61  25611
62  25739
63  25782
64  26067
65  26344
66  26346
67  26447
68  26177
69  26038
70  25782
71  25663
72  25618
73  25784
74  26176
75  26172
76  26292
77  26157
78  25783
79  25341
80  24952
