0  36223
1  36221
2  35939
3  36332
4  36556
5  36720
6  37448
7  37617
8  38177
9  37167
10  36456
11  36333
12  36778
13  36887
14  36775
15  37349
16  38159
17  38288
18  38285
19  37727
20  37053
21  36887
22  37056
23  36726
24  37171
25  37174
26  38120
27  38288
28  37978
29  37149
30  36649
31  36217
32  36334
33  36597
34  36878
35  37450
36  38008
37  38011
38  37725
39  37057
40  36610
41  36334
42  35937
43  36225
44  36332
45  37061
46  37615
47  37726
48  37167
49  36541
50  36336
51  35767
52  35844
53  35969
54  36507
55  37171
56  37075
57  36435
58  35666
59  35109
60  34919
61  35386
62  35774
63  35841
64  36229
65  36601
66  36617
67  36617
68  36498
69  35108
70  35032
71  35480
72  36043
73  36333
74  36739
75  36399
76  36217
77  35719
78  34941
79  34828
80  34827
