0  38848
1  43544
2  44265
3  44669
4  44711
5  44939
6  44969
7  45272
8  45554
9  45230
10  45027
11  44708
12  44425
13  44753
14  45087
15  45653
16  46191
17  46765
18  47053
19  46644
20  46732
21  46183
22  45852
23  45874
24  45657
25  45939
26  46214
27  46762
28  46768
29  46214
30  45656
31  45359
32  45091
33  45371
34  45937
35  46489
36  47054
37  47247
38  47047
39  45938
40  45658
41  45467
42  45232
43  45291
44  45876
45  46306
46  46494
47  46239
48  45791
49  45092
50  44910
51  44943
52  45044
53  45381
54  45278
55  45776
56  45377
57  45474
58  45068
59  45367
60  45289
61  45378
62  45866
63  46214
64  46326
65  46111
66  46097
67  45829
68  45643
69  45105
70  44990
71  45582
72  45939
73  46448
74  46099
75  45328
76  44934
77  44427
78  43591
79  43594
80  43699
